ingredient_name,cas,smiles_canonical,mw,logp,tpsa,hbd,hba,toxicity_mean,toxicity_std,toxicity_q95,toxicity_lo95,toxicity_hi95,permeability_mean,permeability_std,permeability_q95,permeability_lo95,permeability_hi95,iri_mean,iri_std,iri_q95,iri_lo95,iri_hi95,pareto,composite_score,chemberta_toxicity_mean,chemberta_toxicity_std,chemberta_permeability_mean,chemberta_permeability_std,chemberta_iri_mean,chemberta_iri_std,rf_toxicity_mean,rf_toxicity_std,rf_permeability_mean,rf_permeability_std,rf_iri_mean,rf_iri_std
BENZOCAINE,94097.0,CCOC(=O)c1ccc(N)cc1,165.19199999999998,1.4455,52.32,1,3,63.36113510131836,0.992277168060958,61.101409408569246,2.2597256927491145,124.4625445098876,25.74547920227051,0.7525335731576936,42.27190872192383,-16.52642951965332,68.01738792419434,36.31904907226563,1.0775977116501787,47.490009947421136,-11.170960875155508,83.80905901968677,False,0.4999156252803753,63.36113510131836,0.992277168060958,25.74547920227051,0.7525335731576936,36.31904907226563,1.0775977116501787,72.75133333333333,0.2592930559982049,22.83137999999995,1.0762105880665866,31.308169629629607,1.127439930574844
BUTYL ALCOHOL,71363.0,CCCCO,74.12299999999999,0.7787999999999999,20.23,1,1,53.4077033996582,3.2731338748732237,61.101409408569246,-7.693706008911043,114.50911280822746,27.050901794433592,0.4792764116619623,42.27190872192383,-15.221006927490237,69.32281051635742,54.01501541137695,1.4446425532755645,47.490009947421136,6.525005463955814,101.5050253587981,True,0.4538320707395867,53.4077033996582,3.2731338748732237,27.050901794433592,0.4792764116619623,54.01501541137695,1.4446425532755645,42.016666666666666,1.668383915317123,24.328873333333295,0.37550214640605734,58.16832682539678,1.365250659442374
BUTYLENE GLYCOL,107880.0,CC(O)CCO,90.122,-0.2503999999999999,40.46,2,2,55.23012008666992,1.025091465277932,61.101409408569246,-5.871289321899326,116.33152949523917,26.877077102661133,1.0362979920982107,42.27190872192383,-15.394831619262696,69.14898582458497,63.95361862182617,1.0735042042010556,47.490009947421136,16.463608674405037,111.44362856924732,False,0.3875237539515853,55.23012008666992,1.025091465277932,26.877077102661133,1.0362979920982107,63.95361862182617,1.0735042042010556,48.448,1.0766206388510298,29.28308666666665,0.25132971509332147,68.17642677248683,1.1109222516478479
CAFFEINE,58082.0,Cn1c(=O)c2c(ncn2C)n(C)c1=O,194.194,-1.0293,61.82,0,3,59.09584426879883,1.9769978992724724,61.101409408569246,-2.005565139770418,120.19725367736808,24.305125427246093,0.5662506642934277,42.27190872192383,-17.966783294677736,66.57703414916992,45.28729019165039,1.0736187580491474,47.490009947421136,-2.202719755770744,92.77730013907151,False,0.4390758317186005,59.09584426879883,1.9769978992724724,24.305125427246093,0.5662506642934277,45.28729019165039,1.0736187580491474,60.844,0.553613583648379,19.07081999999996,0.4533376987044801,47.87491417989412,0.6000357551847876
CARAMEL,8028895.0,CC1CC(C)C(=O)C1=O,126.155,0.8005,34.14,0,2,61.20197677612305,1.6630845875434974,61.101409408569246,0.1005673675538005,122.3033861846923,25.158386993408204,0.7069048809862135,42.27190872192383,-17.113521728515625,67.43029571533204,46.791212463378905,0.8952402835800695,47.490009947421136,-0.6987974840422311,94.28122241080004,False,0.4288248276942681,61.20197677612305,1.6630845875434974,25.158386993408204,0.7069048809862135,46.791212463378905,0.8952402835800695,63.342666666666666,1.631287698585246,23.186993333333294,0.25513628793689924,55.45214698412678,0.4211353015915342
CITRIC ACID MONOHYDRATE,5949291.0,O.O=C(O)CC(O)(CC(=O)O)C(=O)O,210.138,-2.0732,163.63,4,4,54.75566864013672,0.7943807227513501,61.101409408569246,-6.3457407684325275,115.85707804870596,20.36908721923828,0.7769004962282188,42.27190872192383,-21.902821502685548,62.64099594116211,52.32077178955078,0.7488281562325845,47.490009947421136,4.830761842129647,99.81078173697192,False,0.3729655344813103,54.75566864013672,0.7943807227513501,20.36908721923828,0.7769004962282188,52.32077178955078,0.7488281562325845,63.52166666666667,0.3198357217211515,12.32507333333333,0.6496557400825611,65.06983190476188,0.45765156212870384
CREATININE,60275.0,CN1CC(=O)N=C1N,113.12,-1.2268999999999994,58.69,1,3,59.90125579833985,1.4591377467958229,61.101409408569246,-1.2001536102293997,121.00266520690909,25.296142959594725,0.6251062379013537,42.27190872192383,-16.975765762329104,67.56805168151855,54.134236907958986,1.717177885760154,47.490009947421136,6.64422696053785,101.62424685538012,False,0.3778063358688289,59.90125579833985,1.4591377467958229,25.296142959594725,0.6251062379013537,54.134236907958986,1.717177885760154,63.90133333333333,1.0425946266673152,21.06218666666662,0.8657387335423748,63.12822904761908,0.41510990002291803
CYSTEINE,52904.0,N[C@@H](CS)C(=O)O,121.16099999999996,-0.6719000000000002,63.32000000000001,3,3,55.97396392822266,0.4352381731331021,61.101409408569246,-5.127445480346587,117.0753733367919,28.309391021728516,0.968400520075496,42.27190872192383,-13.962517700195312,70.58129974365235,60.652731323242186,0.7123780045418929,47.490009947421136,13.16272137582105,108.14274127066332,False,0.4631873100438063,55.97396392822266,0.4352381731331021,28.309391021728516,0.968400520075496,60.652731323242186,0.7123780045418929,55.57877777777778,1.9364562963450305,16.78815333333332,1.2502708860971754,99.1275333333337,0.5718476279829321
DEHYDROACETIC ACID,771039.0,CC(=O)c1c(O)cc(C)oc1=O,168.14799999999997,0.85642,67.50999999999999,1,4,57.92969436645508,1.328684965676539,61.101409408569246,-3.1717150421141653,119.03110377502432,25.98883399963379,0.7581338327649548,42.27190872192383,-16.28307472229004,68.26074272155762,42.478494262695314,1.12305216602862,47.490009947421136,-5.011515684725822,89.96850421011645,True,0.5043984884498943,57.92969436645508,1.328684965676539,25.98883399963379,0.7581338327649548,42.478494262695314,1.12305216602862,71.12466666666667,1.5738465264722903,19.14911999999995,0.505324811449688,41.08310999999993,1.0220670328418822
DEXTROSE MONOHYDRATE,77029619.0,O.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,198.171,-4.0461,141.88000000000002,5,6,56.8002326965332,2.401809979786384,61.101409408569246,-4.301176712036046,117.90164210510244,24.92959060668945,0.823987672396179,42.27190872192383,-17.342318115234377,67.20149932861328,82.29925994873047,1.7102805675316324,47.490009947421136,34.80925000130933,129.7892698961516,False,0.167359544091063,56.8002326965332,2.401809979786384,24.92959060668945,0.823987672396179,82.29925994873047,1.7102805675316324,54.34444444444444,0.702551188768125,10.19745333333337,0.6615583026629004,76.87521059163066,0.3473592585033552
