rank,name_a,name_b,smi_a,smi_b,tox_pred,tox_unc,perm_pred,perm_unc,iri_pred,iri_unc,composite_score
3240,LACTIC ACID,LYSINE ACETATE,CC(O)C(=O)O,CC(=O)O.NCCCC[C@H](N)C(=O)O,52.114599999999996,1.7776498192838766,45.19704799999988,1.4810344497276093,67.16285979365077,0.6328852552602514,0.49379337936857787
3241,DIMETHYL ISOSORBIDE,"LACTIC ACID, L-",CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,C[C@H](O)C(=O)O,57.1924,2.392747308012277,48.42685999999988,1.3538630084436152,66.47499604761909,0.8563127710787489,0.4937745804158692
3242,DIMETHYL ISOSORBIDE,LACTIC ACID,CO[C@H]1CO[C@H]2[C@@H]1OC[C@H]2OC,CC(O)C(=O)O,57.1924,2.392747308012277,48.42685999999988,1.353863008443616,66.47499604761909,0.8563127710787544,0.4937745804158692
3243,ASCORBIC ACID,METHYLPARABEN,O=C1O[C@H]([C@@H](O)CO)C(O)=C1O,COC(=O)c1ccc(O)cc1,49.8368,1.9520833497687664,33.823799999999935,1.3749298612510998,50.83517862914859,1.2339936290696103,0.49376856573561795
3244,ERYTHORBIC ACID,METHYLPARABEN,O=C1O[C@H]([C@H](O)CO)C(O)=C1O,COC(=O)c1ccc(O)cc1,49.8368,1.9520833497687664,33.823799999999935,1.3749298612510996,50.83517862914859,1.2339936290696079,0.49376856573561795
3245,METHYL ETHYL KETONE,PROPYLENE GLYCOL DIACETATE,CCC(C)=O,CC(=O)OCC(C)OC(C)=O,61.2164,2.488851301303475,46.92502799999984,1.3460437495772362,59.376842666666604,1.477764087361332,0.49375787463244136
3246,LYSINE MONOHYDRATE,PROPYLENE CARBONATE,NCCCC[C@H](N)C(=O)O.O,CC1COC(=O)O1,44.697799999999994,2.373828671155523,38.52285199999995,1.4754866977699188,62.234317690475926,1.872110940536686,0.4937455674436492
3247,HEXYLENE GLYCOL,WAX,CC(O)CC(C)(C)O,Nc1cccc(C(=O)N2CCOCC2)c1,77.2288,2.535059650404918,49.53928399999994,1.497408235393398,46.956405555555584,1.8231240468285566,0.4937231958682454
3248,ACETONITRILE,THREONINE,CC#N,C[C@@H](O)[C@H](N)C(=O)O,46.9374,2.3409070037060435,49.27742799999994,1.2053405555344057,77.38830420634915,1.7638736101779025,0.4936960087621337
3249,NITRIC ACID,SERINE,O=[N+]([O-])O,N[C@@H](CO)C(=O)O,33.95666666666667,2.170344054650219,39.389159999999926,1.368375982846822,75.59982184920636,0.9417257196289543,0.49369015861431514
3250,ASPARTAME,DL-LACTIDE AND GLYCOLIDE (50:50) COPOLYMER 12000 ACID,COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,CC1OC(=O)C(C)OC1=O.O=C1COC(=O)CO1,58.6604,2.1925359928630583,37.17001199999993,1.630409269453507,46.690502645021496,1.3651679472035958,0.49367944290817617
3251,ETHYLENEDIAMINE,MONOTHIOGLYCEROL,NCCN,OCC(O)CS,31.116666666666667,2.147829101415868,37.92635999999988,1.2375656534341932,76.38662830952384,0.8739116211729268,0.49357843977671584
3252,"1,2,6-HEXANETRIOL",ETHYL MALTOL,OCCCCC(O)CO,CCc1occc(=O)c1O,55.3316,1.951381213397321,35.39954399999989,1.2373383573461112,48.07401801587299,1.1891097439068887,0.4935538244395926
3253,DIETHANOLAMINE,SORBIC ACID,OCCNCCO,C/C=C/C=C/C(=O)O,44.5544,1.3438093912456492,40.4398439999999,0.9507728909219018,67.82881214113664,1.0604961085386322,0.49354449193318983
3254,GLYCERYL MONOCAPRYLATE,PIPERAZINE,CCCCCCCC(=O)OCC(O)CO,C1CNCCN1,53.53920000000001,2.2146349746879532,42.25288399999992,1.1753337633200216,59.98260928571425,1.6924311688282137,0.49352616169486635
3255,MONOTHIOGLYCEROL,SACCHARIN,OCC(O)CS,O=C1NS(=O)(=O)c2ccccc21,47.12786666666666,1.785493136985473,36.6539399999999,1.1751069654120776,58.7849582063492,0.9104634388090334,0.49348252464962195
